Last 4 Card Digits,Order Date,Menu Item,Qty,Total,Tip
0259,2023-12-05 17:53:00,"HH Martini Flight, HH Old Fashioned Flight, Wedge Salad, Mac & Cheese Flight",4.0,67.72,11.0
0266,2023-12-29 18:39:00,"HH Mojito Flight, HH Margarita Rock Flight, Slider Flight",3.0,54.64,40.0
0270,2024-01-13 20:08:00,"Fry Flight, Empanada Flight, Ahi Tuna Taco Flight, Slider Flight, Mojito Flight",5.0,106.97999999999999,2.24
0273,2023-12-01 19:32:00,"Bluemoon, Fry Flight, Pinot Grig, Baby Back Ribs Flight, Bluemoon, Fry Flight, Pinot Grig, Baby Back Ribs Flight",8.0,124.44,5.0
0275,2024-01-07 15:36:00,"Mimosa Flight, Empanada Flight, Cheesecake Flight",3.0,60.06,12.01
0275,2024-01-20 15:09:00,"Frozen Margarita Flight, Bloody Mary Flight, Chicken Wing Flight, Mac & Cheese Flight, Taco Flight, Cheesecake Flight",6.0,131.05,10.0
0280,2023-12-30 20:00:00,"Martini Flight, Mojito Flight, Beer Flight, Mule Flight, Fry Flight, Fettuccine Alfredo, Slider Flight, Chicken Wing Flight, BBQ Pulled Pork Sandwich",9.0,210.84,0.0
0281,2024-02-17 14:17:00,Elysian Space Dust,2.0,17.5,0.0
0304,2023-12-17 13:32:00,"Chicken Wing Flight, Elysian Space Dust",2.0,33.86,6.0
0309,2024-02-16 19:11:00,"Margarita Rock Flight, Morena Mia, 12 Oz New York Steak, Flights Burger, Morena Mia",5.0,104.9,24.9
0315,2024-02-17 15:26:00,"Mojito Flight, Mule Flight, Ahi Tuna Taco Flight, Baby Back Ribs Flight, Fry Flight, Taco Flight",6.0,134.3,10.24
0327,2024-02-11 16:57:00,"Soda Water, Mojito Flight, Skewer Flight",3.0,51.89,0.0
0335,2023-11-19 15:33:00,"Coke, Shirley Temple, Chicken Wing Flight, Fettuccine Alfredo, Ahi Tuna Taco Flight",6.0,87.36,12.0
0342,2023-11-26 17:45:00,"Bird Dog, 805, Slider Flight, Mac & Cheese Flight, Taco Flight",5.0,86.25999999999999,0.0
0342,2023-12-03 12:02:00,"HH Bloody Mary Flight, Martini Flight, Mimosa Flight, Mac & Cheese Flight, Ahi Tuna Taco Flight, Flights Burger, Cheesecake Flight",7.0,140.89,25.0
0343,2024-01-06 19:16:00,"Frozen Margarita Flight, Margarita Rock Flight, Mac & Cheese Flight, Fry Flight, Slider Flight, Fettuccine Alfredo, Martini Flight",7.0,169.34,14.09
0346,2023-11-08 16:28:00,"HH Tasting Wine Flight, HH Bloody Mary Flight, HH Gin Flight, Baby Back Ribs Flight",4.0,73.23,13.18
0348,2023-11-16 17:50:00,"Mojito Flight, Coke, Flights Burger, Empanada Flight, Cheesecake Flight",5.0,82.97999999999999,18.26
0348,2024-01-04 17:44:00,Taco Flight,1.0,19.63,17.05
0351,2024-02-01 19:48:00,"805, 805, Margarita Rock Flight, Fry Flight, Bluemoon, Bluemoon",6.0,79.78999999999999,14.36
0364,2023-11-14 18:24:00,"Frozen Margarita Flight, Mule Flight, Taco Flight, HH Margarita Rock Flight",4.0,68.86,14.94
0376,2023-12-22 20:15:00,BBQ Pulled Pork Sandwich,1.0,9.81,13.78
0381,2024-01-06 20:06:00,"Old Fashioned Flight, Frozen Margarita Flight, Margarita Rock Flight, Old Fashioned Flight, Margarita Rock Flight, Mocktini Flight, Fry Flight, Slider Flight, Skewer Flight, Baby Back Ribs Flight, Ahi Tuna Taco Flight, Beignet Flight, Beignet Flight",13.0,278.54,12.78
0385,2024-02-01 16:15:00,"Bluemoon, Caprese Salad, Bluemoon",3.0,25.080000000000002,5.52
0388,2023-11-06 19:22:00,"Margarita Rock Flight, Mojito Flight",2.0,52.5,9.0
0392,2024-01-12 17:44:00,"Margarita Rock Flight, Old Fashioned Flight, HH Frozen Margarita Flight, Margarita Rock Flight, Fry Flight, Taco Flight, Ahi Tuna Taco Flight, Skewer Flight, Baby Back Ribs Flight, Salad Flight, Mac & Cheese Flight, Fry Flight",12.0,259.87,9.0
0398,2023-12-22 19:30:00,"Side Fries, 2 Cheese Empanada ,with Orange Sauce",2.0,0.0,15.88
0402,2024-01-17 17:51:00,"Elysian Space Dust, Elysian Space Dust, Hummus, 1 Plain Meatballl, Hummus, Voodoo Ranger, Diet Coke",7.0,56.75,9.39
0404,2023-12-30 15:40:00,"Slider Flight, Pancake Flight, Caesar Salad, Caesar Salad, Pan Seared Salmon Fillet, Beef Slider, Coffee Regular, BBQ Pulled Pork Sandwich, Lemonade",10.0,154.97,8.84
0408,2024-02-26 17:48:00,"HH Martini Flight, Mac & Cheese Flight",2.0,37.15,8.17
0409,2024-02-24 16:42:00,"Martini Flight, Mojito Flight, Slider Flight",3.0,74.32,14.86
0413,2023-11-05 16:40:00,"stella, MODELO, Fettuccine Alfredo, Fettuccine Alfredo",8.0,133.54,0.0
0434,2024-02-09 17:43:00,"Empanada Flight, HH Old Fashioned Flight, HH Gin Flight, HH Margarita Rock Flight, Fettuccine Alfredo, Empanada Flight, HH Mule Flight, Empanada Flight, HH Old Fashioned Flight, HH Gin Flight, HH Margarita Rock Flight, Fettuccine Alfredo, Empanada Flight, HH Mule Flight",14.0,266.64,19.46
0441,2024-02-23 17:35:00,"HH Frozen Margarita Flight, Slider Flight, HH Margarita Rock Flight, Don Julio Blanco Shot, 3 Don Julio Shots, Margarita Rock Flight",6.0,108.23,10.0
0444,2024-02-03 11:02:00,"Skewer Flight, Ahi Tuna Taco Flight, Mimosa Flight, Wingman",4.0,85.2,0.0
0444,2024-02-23 20:59:00,"Margarita Rock Flight, Titos, Fry Flight, Slider Flight, Titos, Titos",6.0,112.57,0.0
0448,2024-02-28 19:19:00,"Voodoo Ranger, Voodoo Ranger, Voodoo Ranger, Voodoo Ranger, Chicken Wing Flight, Voodoo Ranger",6.0,55.7,15.64
0450,2023-11-06 13:56:00,"Kids Milk, Macaroni & Cheese, Bird Dog, Caesar Salad",4.0,39.32,0.0
0465,2023-11-25 12:42:00,"Hot Tea, Toast Flight, Cast Iron Hash Flight, HH Mimosa Flight",4.0,54.58,9.82
0469,2024-01-12 20:23:00,"Margarita Rock Flight, Beer Flight, Fry Flight, Taco Flight, Chicken Wing Flight, Caesar Salad",6.0,120.1,28.39
0470,2024-01-06 13:35:00,"HH Mimosa Flight, Mule Flight, Chicken n Waffles, Side Bacon, Flights 3 Egg Omelet, Wingman, Moscow Mule",7.0,114.74,5.0
0470,2024-02-18 16:58:00,"Ahi Tuna Taco Flight, Skewer Flight, Margarita Rock Flight, Cabernet - Sebastiani - Glass",4.0,80.81,5.91
0471,2023-12-16 20:36:00,"Morena Mia, Margarita, Fry Flight, Ahi Tuna Taco Flight, Empanada Flight, 805, Margarita, 805, Skewer Flight, Margarita, 805",11.0,160.54,32.11
0477,2024-02-18 19:19:00,Cabernet - Sebastiani - Glass,1.0,10.93,31.67
0481,2024-01-02 19:28:00,"HH BEER, HH BEER",2.0,10.92,0.0
0483,2024-01-27 15:03:00,"Margarita, Well Tequila",2.0,26.25,1.75
0485,2023-11-21 16:58:00,"Bluemoon, cheese flight",2.0,25.11,12.2
0486,2023-12-19 16:00:00,"stella, High West Rye Whiskey, Titos Dbl, cheese flight, Meatballs, Titos Dbl, High West Rye Whiskey",7.0,123.48,27.17
0493,2023-11-11 16:36:00,"Ahi Tuna Taco Flight, Mac & Cheese Flight, Skewer Flight, Martini Flight, Martini Flight, Martini Flight, Martini Flight, Cheesecake Flight, Bird Dog, Martini",10.0,197.81,0.0
0496,2023-11-06 19:07:00,"Margarita Rock Flight, Fry Flight",2.0,44.79,6.77
0499,2024-02-20 16:59:00,"Fry Flight, Ahi Tuna Taco Flight",2.0,19.08,15.14
0502,2023-11-10 19:04:00,"Bourbon Flight, Ghost Rider",2.0,48.14,4.81
0528,2023-11-11 15:14:00,"Lemon Drop, Lemon Drop",4.0,52.5,2.36
0528,2024-01-26 20:38:00,"Martini Flight, Beer Flight, Fry Flight, Mac & Cheese Flight, Chicken Wing Flight, Ahi Tuna Taco Flight, Salad Flight, Campbell Mud Pie",8.0,160.51999999999998,10.82
0531,2023-11-10 18:29:00,"HH Margarita Rock Flight, Macaroni & Cheese, Roasted Lemon Chicken, Roasted Lemon Chicken, Mac & Cheese Flight, Fry Flight, Caesar Salad, Caesar Salad, Coke, Coke, Coke, Brownie Bomber, Hapas ipa, Birthday Treat",14.0,181.22,35.0
0534,2024-02-22 19:18:00,"Margarita Rock Flight, Margarita Rock Flight, Bird Dog, Ginger Beer, Margarita Rock Flight, Miracle on the Hudson, Taco Flight, Taco Flight",8.0,165.05,0.0
0541,2024-01-14 14:17:00,"HH Mimosa Flight, Chardonnay - Hess - Glass, Iced Tea, Breakfast Burrito, Baby Back Ribs Flight, Fry Flight, Mac & Cheese Flight, Bluemoon",8.0,122.28,6.0
0544,2024-02-03 19:30:00,"Rose - The Fabliest - Glass, Old Fashioned",2.0,24.049999999999997,0.0
0545,2024-01-19 20:01:00,"Margarita Rock Flight, Fry Flight",2.0,44.79,8.06
0556,2024-02-26 17:58:00,"Wingman, Bird Dog, Fry Flight",3.0,49.18,4.43
0560,2024-02-08 19:42:00,"Bird Dog, White Wine Flight, Slider Flight, Chicken Wing Flight, Taco Flight",5.0,108.13,7.57
0563,2023-12-08 19:44:00,"Don Julio 70, Don Julio 70, Margarita Rock Flight",3.0,65.61,15.0
0565,2023-12-20 15:37:00,Flights Burger,1.0,18.54,4.08
0565,2024-02-14 18:45:00,"Ahi Tuna Taco Flight, Baby Back Ribs Flight, Salad Flight, Wedge Salad, Cabernet - Flights Founder's Label - Glass, Cheesecake Flight",6.0,101.42,22.31
0573,2023-12-09 13:58:00,"Old Fashioned Flight, Old Fashioned Flight, 805, 805, Well Gin, Old Fashioned Flight, Old Fashioned Flight, 805, 805, Well Gin, Old Fashioned Flight, Old Fashioned Flight, 805, 805, Well Gin",18.0,282.21,16.0
0575,2024-02-25 12:25:00,"Soda Water, Lemon Drop, Bird Dog, 6 Oz N.Y. Steak & Eggs, Toast Flight, Pancake Flight, Side Egg, Bird Dog",8.0,99.93,0.0
0576,2023-11-05 18:06:00,"Cabernet - Josh Hearth - Glass, Smoked Show",2.0,29.53,5.91
0578,2024-02-03 17:32:00,"Old Fashioned Flight, Mule Flight, Salad Flight, Skewer Flight, Fry Flight",5.0,114.67,12.61
0579,2023-11-11 11:03:00,2 Frozen,1.0,24.07,12.0
0595,2024-02-22 17:04:00,"HH Mojito Flight, Flights Burger, Side Mac n Cheese",3.0,41.519999999999996,0.0
0599,2023-12-02 11:59:00,"Martini Flight, Chicken n Waffles, Beignet Flight, Martini Flight, Martini Flight, HH Mimosa Flight, Mac & Cheese Flight, Skewer Flight, Fry Flight",9.0,192.25,17.0
0605,2023-11-21 18:58:00,"Shirley Temple, Chicken Wing Flight, Slider Flight, Fry Flight",5.0,74.22,10.0
0605,2023-12-23 20:25:00,"Mule Flight, Gin Flight",2.0,52.5,0.0
0609,2023-12-31 18:42:00,Fry Flight,1.0,0.0,13.0
0612,2023-12-23 12:11:00,"HH Mimosa Flight, HH Bloody Mary Flight, Flights Burger, Side Fries, Margarita Rock Flight",5.0,84.18,15.15
0615,2023-11-19 14:50:00,"HH Bloody Mary Flight, Margarita Rock Flight, Shirley Temple, Chicken Wing Flight, Caesar Salad",5.0,85.22,15.0
0622,2023-12-23 20:42:00,"Mule Flight, Bloody Mary Flight, Roasted Lemon Chicken",3.0,79.78999999999999,20.0
0628,2023-11-25 14:47:00,Maverick,2.0,30.62,5.51
0629,2023-12-23 15:38:00,"Don Julio Blanco, Margarita, Taco Flight",3.0,49.16,7.35
0640,2024-01-28 12:16:00,"Frozen Margarita Flight, Coke, Mile High, Fry Flight",4.0,64.49,10.0
0651,2023-11-07 20:06:00,"Johnnie Walker Black, Oban, Sierra Hazy, Rose - The Fabliest - Glass",4.0,53.57,8.0
0668,2023-11-11 21:27:00,"Elysian Space Dust, Elysian Space Dust",2.0,17.5,12.0
0676,2023-11-26 13:24:00,"Ahi Tuna Taco Flight, BBQ Pulled Pork Sandwich, HH Mimosa Flight, Voodoo Ranger, Tequila Flight",5.0,90.67,32.0
0676,2023-12-28 20:08:00,stella,1.0,7.66,14.0
0682,2023-11-18 14:30:00,Martini Flight,1.0,26.25,3.0
0684,2023-12-02 14:34:00,Breakfast Burrito,1.0,0.0,21.0
0684,2023-12-02 14:44:00,"MODELO, Coke, Lemonade, Slider Flight, Skewer Flight, Baby Back Ribs Flight, Fry Flight",7.0,105.87,21.0
0687,2023-12-16 12:23:00,Breakfast Burrito,1.0,0.0,0.0
0696,2023-11-05 15:47:00,Mimosa Flight,1.0,16.41,2.95
0696,2024-02-17 16:48:00,"BBQ Pulled Pork Sandwich, Flights Burger, Margarita, Margarita",4.0,73.17,9.18
0699,2024-02-01 16:44:00,"HH Martini Flight, HH Mojito Flight, Chicken Wing Flight, Side Fries, HH Martini Flight",5.0,80.91,0.0
0705,2024-01-20 16:35:00,"Sierra Hazy, Bluemoon, Fry Flight, Voodoo Ranger, Bluemoon, Bluemoon, Chicken Wing Flight, Morena Mia",8.0,96.15,25.0
0711,2023-12-03 16:00:00,"BBQ Pulled Pork Sandwich, Ahi Tuna Taco Flight, Caesar Salad",3.0,39.26,20.98
0715,2024-02-18 18:56:00,"Mule Flight, Fry Flight, Martini Flight, Mac & Cheese Flight, Old Fashioned, Gin Flight, Beer Flight, Margarita Rock Flight, Chicken Wing Flight, Old Fashioned, Mojito Flight",11.0,239.38,17.29
0719,2023-12-17 11:17:00,Martini Flight,1.0,26.25,15.94
0719,2024-02-14 17:45:00,"NA Mojito, Roasted Lemon Chicken, BBQ Pulled Pork Sandwich, Shrimp Skewer",4.0,61.7,13.96
0721,2024-01-20 13:31:00,"Mojito Flight, Mule Flight, Slider Flight, Taco Flight, Fry Flight, HH Mimosa Flight, Mule Flight",7.0,155.15,25.0
0725,2024-02-24 15:50:00,Beer Flight,2.0,35.0,4.72
0727,2024-02-27 19:04:00,Martini,1.0,15.32,3.06
0739,2024-02-16 19:47:00,"Margarita Rock Flight, Margarita Rock Flight, Ginger Beer, BBQ Pulled Pork Sandwich, Pan Seared Salmon Fillet, Pan Seared Salmon Fillet",6.0,137.65,20.75
0759,2024-01-12 16:24:00,"Arnold Palmer, HH Bloody Mary Flight, Modelo, Sierra Hazy, Mac & Cheese Flight, Taco Flight, Roasted Lemon Chicken, Baby Back Ribs Flight, Morena Mia, Modelo",10.0,134.29,15.0
0762,2024-01-19 19:38:00,"Beignet Flight, Fry Flight",1.25,16.62,4.0
0765,2023-11-19 18:47:00,"Maverick, MODELO, Bird Dog, Ghost Rider",4.0,54.71,23.79
0768,2024-02-25 13:48:00,"Margarita Rock Flight, Ghost Rider, 805, Side Fries, Mojito, Martini Flight, Beef Slider, 805, Ghost Rider, Side Fries",10.0,137.82999999999998,30.0
0778,2024-02-21 18:45:00,Caesar Salad,1.0,0.0,10.0
0781,2024-02-26 17:16:00,"HH Martini Flight, cheese flight, HH Margarita Rock Flight, Taco Flight, Frozen Margarita Flight",5.0,95.06,1.0
0787,2023-11-06 18:13:00,"MODELO, Fry Flight, MODELO",3.0,36.04,5.0
0791,2023-12-24 15:25:00,"Flights 3 Egg Omelet, Flights 3 Egg Omelet, Coffee Decaf, Coffee Regular",4.0,39.26,20.0
0795,2023-11-19 16:02:00,"Diet Coke, Caesar Salad, Skewer Flight, Fry Flight",4.0,59.989999999999995,2.0
0808,2023-12-24 16:28:00,"Caesar Salad, Mac & Cheese Flight, Slider Flight",3.0,55.629999999999995,11.13
0812,2023-12-13 19:10:00,"Meatballs, Fry Flight, Baby Back Ribs Flight, Morena Mia, Sierra Hazy",5.0,78.58,10.0
0813,2024-01-11 18:24:00,"Mule Flight, Beer Flight, Martini Flight, Beer Flight, Mule Flight, Fry Flight, Taco Flight, Slider Flight, Skewer Flight, Side Fries, Bluemoon, Bluemoon",13.0,245.82,40.0
0814,2024-02-24 15:25:00,"Coke, Salad Flight, Taco Flight, Caprese Salad, Fry Flight",6.0,80.71,2.12
0817,2024-02-13 17:34:00,"HH Martini Flight, Chicken Wing Flight, HH Martini Flight",3.0,57.93,9.23
0823,2023-11-10 19:33:00,"Empanada Flight, Fry Flight, Ahi Tuna Taco Flight, Bird Dog, Hapas ipa",5.0,82.97999999999999,16.6
0826,2023-11-29 19:24:00,"MODELO, Ahi Tuna Taco Flight, Ahi Tuna Taco Flight, Baby Back Ribs Flight, Fry Flight, Chicken Wing Flight, Taco Flight, Lamb lolli, Coke, Arnold Palmer, Chardonnay - Patland - Glass, Birthday Treat",12.0,183.37,12.23
0826,2023-12-28 16:35:00,"Mimosa Flight, Martini Flight, Frozen Margarita Flight, Elysian Space Dust, Slider Flight, Fry Flight, Mac & Cheese Flight, Skewer Flight, Ahi Tuna Taco Flight, Taco Flight, Chicken Wing Flight",11.0,236.97,5.91
0827,2024-02-25 11:25:00,"Coffee Regular, Pancake Flight, 6 Oz N.Y. Steak & Eggs, Margarita Rock Flight, HH Mimosa Flight, Fry Flight, HH Mimosa Flight, Pancake Flight, Coke, Classic Breakfast, Mojito Flight, 6 Oz N.Y. Steak & Eggs, 6 Oz N.Y. Steak & Eggs, Lemonade",15.0,229.34,0.0
0834,2024-01-27 19:13:00,"Ahi Tuna Taco Flight, Ahi Tuna Taco Flight, Macaroni & Cheese, Baby Back Ribs Flight, Chicken Wing Flight, Salad Flight, Ahi Tuna Taco Flight, Ahi Tuna Taco Flight, Macaroni & Cheese, Baby Back Ribs Flight, Chicken Wing Flight, Salad Flight",12.0,237.85999999999999,11.39
0838,2023-12-17 13:13:00,"Margarita Rock Flight, Mule Flight, Margarita Rock Flight, Fry Flight, Well Tequila, Margarita",8.0,161.82,13.0
0840,2024-01-31 19:29:00,"Empanada Flight, Old Fashioned Flight, Beer Flight, Skewer Flight, 805, 805, 805",7.0,114.74,7.87
0845,2024-02-22 19:32:00,"Lemonade, Beer Flight, Beer Flight, Flights Burger, 12 Oz New York Steak, Fry Flight, Empanada Flight",7.0,139.81,12.42
0867,2024-01-12 19:13:00,"Gin Flight, Red Wine Flight, Ahi Tuna Taco Flight, Caesar Salad, Mac & Cheese Flight",3.5,79.21000000000001,9.64
0871,2024-01-27 11:10:00,"Martini Flight, Fry Flight, Martini Flight, Campbell Mud Pie, Martini Flight",5.0,110.41,13.0
