,Menu Item,Modifiers,Price,Qty,Discount,Net,Tax,Total,Voided?,Reason,Refund Qty,Refund,Last 4 Card Digits,Order Date,Tip,Gratuity
2,Baby Back Ribs Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,1575.0,2023-12-08 19:56:00,$0.00,$22.48
3,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,1575.0,2023-12-08 19:56:00,$0.00,$22.48
4,Chicken Wing Flight,,$22.95,1.0,$0.00,$22.95,$2.160,$25.11,False,,0,$0.00,1575.0,2023-12-08 19:56:00,$0.00,$22.48
5,Lemonade,Strawberry,$4.00,1.0,$0.00,$4.00,$0.380,$4.38,False,,0,$0.00,1575.0,2023-12-08 19:56:00,$0.00,$22.48
0,Margarita Rock Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,48.0,2023-12-08 19:57:00,$10.09,$0.00
1,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,48.0,2023-12-08 19:57:00,$10.09,$0.00
0,Bird Dog,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,7402.0,2023-12-08 20:06:00,$11.03,$0.00
1,Ghost Rider,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,7402.0,2023-12-08 20:06:00,$11.03,$0.00
2,Ghost Rider,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,7402.0,2023-12-08 20:06:00,$11.03,$0.00
3,Bird Dog,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,7402.0,2023-12-08 20:06:00,$11.03,$0.00
0,Martini Flight,,$24.00,2.0,$0.00,$48.00,$4.500,$52.50,False,,0,$0.00,1563.0,2023-12-08 20:11:00,$9.07,$0.00
1,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,1563.0,2023-12-08 20:11:00,$9.07,$0.00
2,Fry Flight,,$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,1563.0,2023-12-08 20:11:00,$9.07,$0.00
0,Flights Burger,"No Bun Lettuce Wrap, NO Red Onion, Medium Rare",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,6732.0,2023-12-08 21:22:00,$3.34,$0.00
0,Caesar Salad,"Salmon, Anchovies",$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,7019.0,2023-12-08 20:13:00,$10.00,$0.00
1,Jim Beam,,$10.00,1.0,$0.00,$10.00,$0.930,$10.93,False,,0,$0.00,7019.0,2023-12-08 20:13:00,$10.00,$0.00
2,Jim Beam,,$10.00,1.0,$0.00,$10.00,$0.930,$10.93,False,,0,$0.00,7019.0,2023-12-08 20:13:00,$10.00,$0.00
0,Miracle on the Hudson,,$25.00,1.0,$0.00,$25.00,$2.340,$27.34,False,,0,$0.00,9584.0,2024-01-14 16:30:00,$6.99,$0.00
1,cheese flight,,$14.95,1.0,$0.00,$14.95,$1.410,$16.36,False,,0,$0.00,9584.0,2024-01-14 16:30:00,$6.99,$0.00
2,Red Wine Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,9584.0,2024-01-14 16:30:00,$6.99,$0.00
0,Skewer Flight,,$21.95,1.0,$0.00,$21.95,$2.050,$24.00,False,,0,$0.00,3772.0,2024-01-14 16:41:00,$5.02,$0.00
1,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,3772.0,2024-01-14 16:41:00,$5.02,$0.00
2,Margarita Rock Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3772.0,2024-01-14 16:41:00,$5.02,$0.00
0,Chicken Wing Flight,"Salt Pepper, Salt Pepper, Salt Pepper",$22.95,1.0,$0.00,$22.95,$2.160,$25.11,False,,0,$0.00,9213.0,2024-01-14 16:42:00,$4.59,$0.00
1,One Meatbakl Plain,,$0.00,1.0,$0.00,$0.00,$0.000,$0.00,False,,0,$0.00,9213.0,2024-01-14 16:42:00,$4.59,$0.00
0,805,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,9321.0,2024-01-14 16:43:00,$6.50,$0.00
1,Chardonnay - Hess - Glass,,$13.00,1.0,$0.00,$13.00,$1.210,$14.21,False,,0,$0.00,9321.0,2024-01-14 16:43:00,$6.50,$0.00
0,Maverick,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,966.0,2024-01-14 16:49:00,$10.00,$0.00
1,Manhattan,,$13.00,1.0,$0.00,$13.00,$1.210,$14.21,False,,0,$0.00,966.0,2024-01-14 16:49:00,$10.00,$0.00
0,Margarita Rock Flight,Tajin Rim,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
1,Frozen Margarita Flight,,$24.00,2.0,$0.00,$48.00,$4.500,$52.50,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
2,Pan Seared Salmon Fillet,,$27.95,1.0,$0.00,$27.95,$2.620,$30.57,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
3,Slider Flight,,$19.95,1.0,$0.00,$19.95,$1.870,$21.82,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
4,BBQ Pulled Pork Sandwich,Garlic Fries,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
5,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
6,Frozen Margarita Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
7,Beignet Flight,,$10.95,1.0,$0.00,$10.95,$1.040,$11.99,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
8,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,5481.0,2024-01-14 16:52:00,$0.00,$0.00
0,Mule Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,2744.0,2024-01-14 17:05:00,$10.27,$0.00
1,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,2744.0,2024-01-14 17:05:00,$10.27,$0.00
2,Empanada Flight,,$18.95,1.0,$0.00,$18.95,$1.790,$20.74,False,,0,$0.00,2744.0,2024-01-14 17:05:00,$10.27,$0.00
3,Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,2744.0,2024-01-14 17:05:00,$10.27,$0.00
0,Martini Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,4.0,2024-01-14 17:45:00,$35.00,$0.00
1,Chicken Wing Flight,,$22.95,1.0,$0.00,$22.95,$2.160,$25.11,False,,0,$0.00,4.0,2024-01-14 17:45:00,$35.00,$0.00
0,Mojito Flight,,$24.00,1.0,$0.00,$24.00,$2.250,$26.25,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
1,Smoked Show,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
2,Flights Burger,"Medium, NO Red Onion, NO Tomato",$16.95,1.0,$0.00,$16.95,$1.590,$18.54,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
3,Fettuccine Alfredo,Chicken,$26.95,1.0,$0.00,$26.95,$2.540,$29.49,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
4,Bird Dog,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
5,Ahi Tuna Taco Flight,,$17.95,1.0,$0.00,$17.95,$1.680,$19.63,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
6,Cheesecake Flight,,$11.95,1.0,$0.00,$11.95,$1.120,$13.07,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
7,Maverick,,$14.00,1.0,$0.00,$14.00,$1.320,$15.32,False,,0,$0.00,3571.0,2024-01-14 17:50:00,$15.00,$0.00
0,MODELO,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,6847.0,2024-01-14 17:52:00,$14.16,$0.00
1,Voodoo Ranger,,$8.00,1.0,$0.00,$8.00,$0.750,$8.75,False,,0,$0.00,6847.0,2024-01-14 17:52:00,$14.16,$0.00
2,Caprese Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,6847.0,2024-01-14 17:52:00,$14.16,$0.00
3,Caprese Salad,,$12.95,1.0,$0.00,$12.95,$1.210,$14.16,False,,0,$0.00,6847.0,2024-01-14 17:52:00,$14.16,$0.00
4,Roasted Lemon Chicken,,$24.95,2.0,$0.00,$49.90,$4.670,$54.57,False,,0,$0.00,6847.0,2024-01-14 17:52:00,$14.16,$0.00
5,Well Gin,,$11.00,1.0,$0.00,$11.00,$1.040,$12.04,False,,0,$0.00,6847.0,2024-01-14 17:52:00,$14.16,$0.00
